7, 0, 6, 0.00
14, 0, 3, 0.00
15, 0, 3, 0.00
19, 0, 3, 0.00
21, 0, 1, 0.00
23, 0, 21, 0.00
26, 0, 1, 0.00
29, 0, 1, 0.00
30, 0, 6, 0.00
31, 0, 21, 0.00
35, 0, 6, 0.00
39, 0, 6, 0.00
42, 0, 3, 0.00
43, 0, 15, 0.00
46, 0, 3, 0.00
47, 0, 21, 0.00
54, 0, 6, 0.00
55, 0, 6, 0.00
58, 0, 10, 0.00
59, 0, 21, 0.00
60, 0, 45, 0.00
61, 1, 630, 0.00
62, 0, 406, 0.00
63, 0, 6328, 0.00
64, 0, 136, 0.00
65, 0, 231, 0.00
66, 0, 253, 0.00
67, 0, 1128, 0.00
68, 1, 78, 0.01
69, 0, 300, 0.00
70, 0, 1035, 0.00
71, 1, 1035, 0.00
72, 0, 153, 0.00
73, 0, 666, 0.00
74, 0, 435, 0.00
75, 0, 741, 0.00
76, 1, 8128, 0.00
77, 2, 15051, 0.00
78, 0, 8515, 0.00
79, 2, 15225, 0.00
80, 0, 55, 0.00
81, 0, 595, 0.00
82, 0, 378, 0.00
83, 0, 325, 0.00
84, 0, 465, 0.00
85, 0, 6216, 0.00
86, 0, 1225, 0.00
87, 0, 5995, 0.00
88, 0, 66, 0.00
89, 0, 210, 0.00
90, 0, 91, 0.00
91, 0, 120, 0.00
92, 0, 9180, 0.00
93, 8, 77028, 0.00
94, 1, 7875, 0.00
95, 2, 48205, 0.00
96, 1, 210, 0.00
97, 0, 105, 0.00
98, 0, 300, 0.00
99, 0, 666, 0.00
100, 0, 36, 0.00
101, 0, 21, 0.00
102, 0, 171, 0.00
103, 0, 210, 0.00
104, 1, 630, 0.00
105, 0, 595, 0.00
106, 0, 7260, 0.00
107, 0, 2850, 0.00
108, 0, 6441, 0.00
109, 0, 21528, 0.00
110, 9, 65703, 0.00
111, 5, 61075, 0.00
112, 0, 6, 0.00
113, 0, 15, 0.00
114, 0, 21, 0.00
115, 0, 10, 0.00
116, 0, 45, 0.00
117, 0, 210, 0.00
118, 1, 45, 0.02
119, 0, 91, 0.00
120, 0, 10, 0.00
121, 0, 28, 0.00
122, 0, 78, 0.00
123, 0, 55, 0.00
124, 4, 3486, 0.00
125, 3, 16471, 0.00
126, 2, 10878, 0.00
127, 3, 27495, 0.00
131, 0, 1, 0.00
139, 0, 1, 0.00
141, 0, 1, 0.00
142, 0, 15, 0.00
143, 0, 15, 0.00
147, 0, 10, 0.00
148, 0, 1, 0.00
149, 0, 15, 0.00
150, 0, 10, 0.00
151, 0, 10, 0.00
153, 0, 3, 0.00
156, 0, 190, 0.00
157, 0, 630, 0.00
158, 0, 496, 0.00
159, 1, 2485, 0.00
167, 0, 3, 0.00
170, 0, 1, 0.00
171, 0, 3, 0.00
172, 0, 3, 0.00
174, 0, 10, 0.00
175, 0, 15, 0.00
179, 0, 10, 0.00
182, 0, 3, 0.00
183, 0, 10, 0.00
185, 0, 1, 0.00
187, 0, 6, 0.00
188, 0, 861, 0.00
189, 0, 4278, 0.00
190, 1, 9591, 0.00
191, 5, 27966, 0.00
192, 1, 91, 0.01
193, 0, 903, 0.00
194, 1, 496, 0.00
195, 0, 300, 0.00
196, 0, 21, 0.00
